repo,number,Title,Body,Ground_Truth,Prediction
opencv_opencv,8486,Missing exception/abort while accesing non-existing pixels in Mat object,"##### System information (version)
- OpenCV => 3.2, downloaded from the official link:
https://sourceforge.net/projects/opencvlibrary/files/opencv-win/3.2.0/opencv-3.2.0-vc14.exe/download
- Operating System / Platform => Windows 8.1, 64 Bit
- Compiler => Visual Studio 2015
Hello,
I am reading a pure red image in OpenCV pixel by pixel. As you see in the code I intentionally access the elements with:
<code>
originalImage.at<Vec3b>(Point(i, j));
</code>
instead of:
<code>
originalImage.at<Vec3b>(Point(<b>j, i</b>));
</code>
As you see I am getting strange results. For example the color (221, 221, 221) is found several times.
Just run the code from the zip
[OpenCVTest.zip](https://github.com/opencv/opencv/files/881958/OpenCVTest.zip)",question,bug
opencv_opencv,22487,Unable to build iOS framework for OpenCV 3.4.5,"##### System information (version)
- OpenCV => 3.4.5
- Operating System / Platform => Mac/iOS
- Compiler => Xcode
I checked out OpenCV (and contrib) version 3.4.5.
Trying to run python `opencv/platforms/ios/build_framework.py ios`
But getting following error:
```
Using IPHONEOS_DEPLOYMENT_TARGET=8.0
Using iPhoneOS ARCHS=['armv7', 'armv7s', 'arm64']
Using iPhoneSimulator ARCHS=['i386', 'x86_64']
============================================================
ERROR: cannot use a string pattern on a bytes-like object
============================================================
Traceback (most recent call last):
  File ""opencv/platforms/ios/build_framework.py"", line 117, in build
    self._build(outdir)
  File ""opencv/platforms/ios/build_framework.py"", line 85, in _build
    xcode_ver = getXCodeMajor()
  File ""opencv/platforms/ios/build_framework.py"", line 45, in getXCodeMajor
    m = re.match(r'Xcode\s+(\d+)\..*', ret, flags=re.IGNORECASE)
  File ""/Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/re.py"", line 191, in match
    return _compile(pattern, flags).match(string)
TypeError: cannot use a string pattern on a bytes-like object
```",question,bug
opencv_opencv,8687,Javacv Mat to Opencv mat  Slows down processing,"I have been working on Video Processing using Javacv and opencv .I currently using Javacv to grab video frames while all further processing is done using Opencv Mat. Problem to be solved is : Laptop hangs while converting Javacv Mat to Opencv Mat
Problem Lies in conversion of Javacv mat to opencv mat
```
 while ((grabbedImage = converter.convert(grabber.grab())) != null) {

        counter++;

            Mat x=new Mat(grabbedImage.address()).clone(); // Problem Lies here it Slows down the processing 

            Mat w=new Mat();

            x.copyTo(w);

            x.release();

            Frame rotatedFrame = converter.convert(grabbedImage);

            frame.showImage(rotatedFrame);

```
Its a very complicated question, but I would appreciate if anyone could solve my problem its urgent.",question,bug
opencv_opencv,25132,cv2.error: in function 'cv::extractChannel',"```
Python version: 3.8.18 
OpenCV python version: 4.9.0
Operating System / Platform: Windows-10-10.0.19045-SP0

### Detailed description

```
cv2.error: OpenCV(4.9.0) D:\a\opencv-python\opencv-python\opencv\modules\core\src\channels.cpp:425: error: (-215:Assertion failed) 0 <= coi && coi < cn in function 'cv::extractChannel'
import cv2 as cv
import numpy as np
src = (np.random.rand(1000, 1000, 3) * 256).astype(np.float32)
output = cv.extractChannel(src, 3)",question,bug
opencv_opencv,8006,latch_match error,"I was able to compile latch_match.cpp in the tutorial samples but when I run the program, I am getting this error below:
OpenCV Error: Assertion failed (type == B.type() && (type == CV_32FC1 || type == CV_64FC1 || type == CV_32FC2 || type == CV_64FC2)) in gemm, file /home/stan/Downloads/opencv-3.2.0/modules/core/src/matmul.cpp, line 1530
terminate called after throwing an instance of 'cv::Exception'
what():  /home/stan/Downloads/opencv-3.2.0/modules/core/src/matmul.cpp:1530: error: (-215) type == B.type() && (type == CV_32FC1 || type == CV_64FC1 || type == CV_32FC2 || type == CV_64FC2) in function gemm",question,bug
opencv_opencv,26445,CV2.VideoWriter.open() fails to open the file with error,"CV2 version ----> 4.10.0
Operating system------> Linux Mint
Python 3.10.12
On my Linux system I tried to open the same Video file that was recorded the video previously using following line of code.
`out = cv2.VideoWriter.open(""output.avi"", fourcc, 20.0, (640,480))`
But it failed with the TypeError as follows. I do seen many examples online for open() method or did not find any help on this issue.
> TypeError: descriptor 'open' for 'cv2.VideoWriter' objects doesn't apply to a 'str' object
You can try simple python code.
```
import numpy as np
import cv2
import os.path

# This will return video from the first webcam on your computer.
cap = cv2.VideoCapture(2)  

# Define the codec and create VideoWriter object
fourcc = cv2.VideoWriter_fourcc(*'XVID')
#out = cv2.VideoWriter('output.avi', fourcc, 20.0, (640, 480))
out = cv2.VideoWriter.open(""output.avi"", fourcc, 20.0, (640,480))
# loop runs if capturing has been initialized. 
```",question,bug
opencv_opencv,16301,Glitch in cv::ellipse(): draws horizontal lines if thickness is low,"##### System information (version)
- OpenCV => 3.2.0
- Operating System / Platform => Ubuntu 18.04
- Compiler => gcc
When drawing an ellipse with specific but not pathological values and a line thickness less than 5, horizontal lines are displayed.
The following snipped is sufficient to expose the problem:
![Screenshot from 2020-01-07 12-21-10](https://user-images.githubusercontent.com/13381545/71895240-67606b80-3148-11ea-8f67-3b862e7f11b7.png)
```
#include <opencv2/viz/types.hpp>
#include <opencv2/imgproc/imgproc.hpp>
#include <opencv2/highgui.hpp> // for imshow

int main(int argc, char** argv){
  cv::RotatedRect rect;
  rect.angle = 6.52944;
  rect.center.x = 201.968;
  rect.center.y = 373.492;
  rect.size.width = 65.2557;
  rect.size.height = 20.5783;

  cv::Mat test(848,800,CV_8UC3);
  cv::ellipse(test,rect,cv::viz::Color::magenta(),2);
  cv::imshow(""windowName"", test);
  cv::waitKey(0);
}
```
When using a higher thickness (e.g., 5) the problem goes away.",question,bug
opencv_opencv,9537,Grey window when webcam capturing,"##### System information (version)
- OpenCV => 3.3.0
- Operating System / Platform => Windows 7, 64 Bit
- Compiler => Visual Studio 2015 community
Hello!
Here I am to report an issue because it's impossible for me to figure out where is hidden my problem.
I am using a Logitech Quickam pro 9000 webcam and can't do any capture with.
Yet, I can't believe there is a problem with the camera installation because it greatly works with its own software ""Logitech Webcam Software"".
Moreover, openCV seems to be pretty well installed too, until I can import and process images or even videos with application built with opencv.
Finally, I am using a perfectly basic code you can find everywhere wich is :
```.cpp
#include ""opencv2/core.hpp""
#include ""opencv2/imgproc.hpp""
#include ""opencv2/highgui/highgui.hpp""
#include ""opencv2/videoio.hpp""
#include <iostream>

//using namespace cv;
//using namespace std;

int main() {

	cvNamedWindow(""Raw"", CV_WINDOW_NORMAL); 
	CvCapture* capture;
	IplImage * frame;
	char c;
	capture = cvCaptureFromCAM(0);  // works with 0 (ANY) or with an number between 10 and 19 included

	if (capture) {
		std::cout << ""CAPTURE SUCCEEDED\n"";
		while (1) {
			frame = cvQueryFrame(capture);
			if (!frame) {
				std::cout << ""no frame\n"";
				cvWaitKey(2000);
			}
			else {
				std::cout << ""frame\n"";
				(""Raw"", frame);
			}
			c = cvWaitKey(33);
			if (c == 27) break;
		}
	}
	else if (!capture)	std::cout << ""NO CAPTURE\n"";
	cvWaitKey(3000);
	cvReleaseCapture(&capture);
	cvDestroyWindow(""Raw"");
	return 0;
}```
When I use it, is written in my shell :""CAPTURE SUCCEEDED"" and then ""frame"" several times.
So the connection to the camera seems to be good and the frame retrieving seems working too.
However, I capture nothing. The window ""Raw"" is totally grey, while the logitech controller opens well.
I tried the same with a Kinect for PC which works perfectly with its own software too : the same grey window while frames seem retrieved.
I also tried with OpenCV 2.4.10 and Visual Studio 2010 pro : always exactly the same result.
I've finally tried a few different methods of coding, using a videocapture object for example : not better.
I stared in the issues and answers categories of opencv, no one seems to have discussed of this problem of grey or black window before.
If anyone had an idea of the origin of the problem ... I would love him
Thank you !",question,bug
opencv_opencv,17156,"Exception in thread ""main"" java.lang.NoClassDefFoundError: org/opencv/core/Core","##### System information (version)
Exception in thread ""main"" java.lang.NoClassDefFoundError: org/opencv/core/Core
at naman.image.main(image.java:22)
Caused by: java.lang.ClassNotFoundException: org.opencv.core.Core
at java.base/jdk.internal.loader.BuiltinClassLoader.loadClass(BuiltinClassLoader.java:581)
at java.base/jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(ClassLoaders.java:178)
at java.base/java.lang.ClassLoader.loadClass(ClassLoader.java:521)
... 1 more",question,bug
opencv_opencv,15954,Error during Installing openCV on raspberry pi,"I am trying to install openCV on raspberry pi 3.
I don't have any experience using cmake. I used following command to install openCV on raspberry pi.
cmake -D CMAKE_BUILD_TYPE=RELEASE \
-D CMAKE_INSTALL_PREFIX=/usr/local \
-D OPENCV_EXTRA_MODULES_PATH=$OPENCV_CONTRIB_MODULES_SRC_DIR \
There are lots of errors in CMAKEERROR.log file.
Can anyone help me what I did wrong?
[CMakeError.log](https://github.com/opencv/opencv/files/3867968/CMakeError.log)
[CMakeOutput.log](https://github.com/opencv/opencv/files/3867969/CMakeOutput.log)",question,bug
opencv_opencv,14310,my web camera is not switching on,"hi
iam ravikanth.
iam working on a project named hand gestures recognition.
when i run the code i didnt got any error messages. the code run successfully without any error. but
my web camera is not switching on
**code**
import cv2
import numpy as np
import math
cap = cv2.VideoCapture(0)
while(1):
try:  #an error comes if it does not find anything in window as it cannot find contour of max area
#therefore this try error statement
ret, frame = cap.read()
frame=cv2.flip(frame,1)
kernel = np.ones((3,3),np.uint8)
#define region of interest
roi=frame[100:300, 100:300]
cv2.rectangle(frame,(100,100),(300,300),(0,255,0),0)
hsv = cv2.cvtColor(roi, cv2.COLOR_BGR2HSV)
cv2.imshow('hsv',hsv)
# define range of skin color in HSV
lower_skin = np.array([0,20,70], dtype=np.uint8)
upper_skin = np.array([20,255,255], dtype=np.uint8)
#extract skin colur imagw
mask1 = cv2.inRange(hsv, lower_skin, upper_skin)
cv2.imshow('skincolor',mask1)
#extrapolate the hand to fill dark spots within
mask2 = cv2.dilate(mask1,kernel,iterations = 4)
cv2.imshow('dilated',mask2)
#blur the image
mask3 = cv2.GaussianBlur(mask2,(5,5),100)
cv2.imshow('gaussian blur',mask3)
#find contours
_,contours,hierarchy= cv2.findContours(mask3,cv2.RETR_TREE,cv2.CHAIN_APPROX_SIMPLE)
#find contour of max area(hand)
cnt = max(contours, key = lambda x: cv2.contourArea(x))
#approx the contour a little
epsilon = 0.0005*cv2.arcLength(cnt,True)
approx= cv2.approxPolyDP(cnt,epsilon,True)
#make convex hull around hand
hull = cv2.convexHull(cnt)
#define area of hull and area of hand
areahull = cv2.contourArea(hull)
areacnt = cv2.contourArea(cnt)
#find the percentage of area not covered by hand in convex hull
arearatio=((areahull-areacnt)/areacnt)*100
#find the defects in convex hull with respect to hand
hull = cv2.convexHull(approx, returnPoints=False)
defects = cv2.convexityDefects(approx, hull)
# l = no. of defects
l=0
#code for finding no. of defects due to fingers
for i in range(defects.shape[0]):
s,e,f,d = defects[i,0]
start = tuple(approx[s][0])
end = tuple(approx[e][0])
far = tuple(approx[f][0])
pt= (100,180)
# find length of all sides of triangle
a = math.sqrt((end[0] - start[0])**2 + (end[1] - start[1])**2)
b = math.sqrt((far[0] - start[0])**2 + (far[1] - start[1])**2)
c = math.sqrt((end[0] - far[0])**2 + (end[1] - far[1])**2)
s = (a+b+c)/2
ar = math.sqrt(s*(s-a)*(s-b)*(s-c))
#distance between point and convex hull
d=(2*ar)/a
# apply cosine rule here
angle = math.acos((b**2 + c**2 - a**2)/(2*b*c)) * 57
# ignore angles > 90 and ignore points very close to convex hull(they generally come due to noise)
if angle <= 90 and d>30:
l += 1
cv2.circle(roi, far, 3, [255,0,0], -1)
#draw lines around hand
cv2.line(roi,start, end, [0,255,0], 2)
l+=1
#print corresponding gestures which are in their ranges
font = cv2.FONT_HERSHEY_SIMPLEX
if l==1:
if areacnt<2000:
cv2.putText(frame,'Put hand in the box',(0,50), font, 2, (0,0,255), 3, cv2.LINE_AA)
else:
if arearatio<12:
cv2.putText(frame,'0',(0,50), font, 2, (0,0,255), 3, cv2.LINE_AA)
elif arearatio<17.5:
cv2.putText(frame,'Best of luck',(0,50), font, 2, (0,0,255), 3, cv2.LINE_AA)
else:
cv2.putText(frame,'1',(0,50), font, 2, (0,0,255), 3, cv2.LINE_AA)
elif l==2:
cv2.putText(frame,'2',(0,50), font, 2, (0,0,255), 3, cv2.LINE_AA)
elif l==3:
if arearatio<27:
cv2.putText(frame,'3',(0,50), font, 2, (0,0,255), 3, cv2.LINE_AA)
else:
cv2.putText(frame,'ok',(0,50), font, 2, (0,0,255), 3, cv2.LINE_AA)
elif l==4:
cv2.putText(frame,'4',(0,50), font, 2, (0,0,255), 3, cv2.LINE_AA)
elif l==5:
cv2.putText(frame,'5',(0,50), font, 2, (0,0,255), 3, cv2.LINE_AA)
elif l==6:
cv2.putText(frame,'reposition',(0,50), font, 2, (0,0,255), 3, cv2.LINE_AA)
else :
cv2.putText(frame,'reposition',(10,50), font, 2, (0,0,255), 3, cv2.LINE_AA)
#show the windows
cv2.imshow('frame',frame)
except:
pass
if cv2.waitKey(5) & 0xFF == ord('q'):
break
cv2.destroyAllWindows()
cap.release()
and i got the masks  images like this
![qwer](https://user-images.githubusercontent.com/48552437/56019749-163f5a80-5d23-11e9-9df2-41eb786f7ecf.PNG)",question,bug
opencv_opencv,15121,copyTo with () operator is not working,"##### System information (version)
- OpenCV => 4.1
- Operating System / Platform => ios
- Compiler => xcode
I am getting `Thread 1: Heap buffer overflow`. when i run following code.
Actually I want to convert rectangle image to bigger square image and image should be centred.
It generates error on copyto function when there is range provided.
```.cpp
     cv::Mat croppedImage;
       cv::Mat(orig_image, roiF).copyTo(croppedImage);
       cv::Mat(orig_image,roiF).clone();
    
        int size = roiF.height > roiF.width ? roiF.height : roiF.width;

        int offset_height = ((size) / 2 - (roiF.height) / 2);
        int offset_width = ((size ) / 2 - (roiF.width) / 2);

        cv::Mat  resizeImage = cv::Mat(size, size , croppedImage.type(),new cv::Scalar(0,0,0,255));
        if (offset_width > 0) {
            cv::Range colSrcRange = cv::Range(0, roiF.width);
            cv::Range rowSrcRange = cv::Range(0, roiF.height); //select maximum allowed cols
            cv::Range colDestRange = cv::Range(offset_width, offset_width + roiF.width);
            cv::Range rowDestRange = cv::Range(0, roiF.height + 0);
            croppedImage(rowSrcRange, colSrcRange).copyTo(resizeImage(rowDestRange,  colDestRange));
        } else if (offset_height > 0) {
            cv::Range colSrcRange =cv::Range(0, roiF.width); //select maximum allowed cols(*roiF).height
            cv::Range rowSrcRange =cv::Range(0, roiF.height);
            cv::Range colDestRange = cv::Range(0, roiF.width + 0);
            cv::Range rowDestRange = cv::Range(offset_height, offset_height + roiF.height);
            croppedImage(rowSrcRange, colSrcRange).copyTo(resizeImage(rowDestRange,  colDestRange));
        }
        return [OpenCVWrapper UIImageFromCVMat:resizeImage];
    ```",question,bug
opencv_opencv,17940,cv2.rectangle TypeError: function takes exactly 4 arguments (2 given),"- OpenCV => 4.3.0
- Operating System / Platform => Windows 64 Bit
- Compiler => PyCharm
Traceback (most recent call last):
File ""PycharmProjects/OpenCV/retangulo_moving.py"", line 27, in <module>
frame = cv2.rectangle(frame, (x1, y1), (x1+bw, y1+bh), (0,0,0), -1)
TypeError: function takes exactly 4 arguments (2 given)
[ WARN:0] global C:\projects\opencv-python\opencv\modules\videoio\src\cap_msmf.cpp (436) `anonymous-namespace'::SourceReaderCB::~SourceReaderCB terminating async callback
The error is in the rectangle function. I'm trying to display a moving rectangle in a live video from the WebCam.
When using opencv version 4.0.1 I got the error  ""an integer is required (got type tuple)"".  After the update too the 4.3.0 version this new error showed up.
```import cv2
import numpy as np
print(cv2.__version__)


dispW=640
dispH=480
cam=cv2.VideoCapture(0)
cam.set(cv2.CAP_PROP_FPS, 21)
cam.set(cv2.CAP_PROP_FRAME_WIDTH, dispW)
cam.set(cv2.CAP_PROP_FRAME_HEIGHT, dispH)


bw=(.15*dispW)
bh=(.15*dispH)
dx=2
dy=2
x1=10
y1=270


while True:

        ret, frame=cam.read()


        frame = cv2.rectangle(frame, (x1, y1), (x1+bw, y1+bh), (0,0,0), -1)

        cv2.moveWindow('WebCam', 0, 0)
        cv2.imshow('WebCam', frame2)
        x1+=dx
        y1+=dy
        if x1<=0 or x1+bw>=dispW:
            dx=dx*(-1)
        if y1<=0 or y1+bh>=dispH:
            dy=dy*(-1)




        if cv2.waitKey(1)==ord('q'):
            break


cam.release()
cv2.destroyAllWindows()
```
answers.opencv.org, Stack Overflow, etc and have not found solution",question,bug
opencv_opencv,15259,keypoint.angle in 'kaze' is always 0.0,"##### System information (version)
OpenCV 4.1.1 (recent)
angle 0.0 prevents combining kaze-detector with another descriptor.
````python
import requests
import numpy
import cv2

r = requests.get( 'https://raw.githubusercontent.com/opencv/opencv/master/samples/data/lena.jpg' )
image = cv2.imdecode( numpy.fromstring(r.content, dtype=numpy.uint8), cv2.IMREAD_COLOR )
kaze = cv2.KAZE_create()
kps = kaze.detect( image, None )
print( *(o.angle for o in kps) )
````
##### Result:
```
0.0 0.0 0.0 ...
```",question,bug
